keys,fr
arena.plaine_au_talus.name,Plaine au talus
arena.gorge.name,Gorge
arena.ruine_a_estrades.name,Ruine à estrades
creature.aventurier.name,Aventurier
creature.loup.name,Loup
creature.essaim_abeilles.name,Essaim d'abeilles
creature.vautour.name,Vautour
creature.chameau.name,Chameau sauvage
creature.ours_polaire.name,Ours polaire
creature.loup_blanc.name,Loup blanc
creature.renne.name,Renne
creature.morse.name,Morse
creature.crocodile.name,Crocodile
creature.nuee_moustiques.name,Nuée de moustiques
creature.serpent_venimeux.name,Serpent venimeux
creature.ours_brun.name,Ours brun
creature.bouquetin.name,Bouquetin
creature.lynx.name,Lynx
creature.sanglier.name,Sanglier
creature.bandit.name,Bandit
creature.chef_de_bande.name,Chef de bande
creature.aigle.name,Aigle
creature.scorpion.name,Scorpion
creature_action.morsure.name,Morsure
creature_action.morsure_puissante.name,Morsure puissante
creature_action.morsure_venimeuse.name,Morsure venimeuse
creature_action.griffure.name,Griffure
creature_action.coup_de_patte.name,Coup de patte
creature_action.charge.name,Charge
creature_action.coup_de_defenses.name,Coup de défenses
creature_action.coup_de_tete.name,Coup de tête
creature_action.masse_ecrasante.name,Masse écrasante
creature_action.ruade.name,Ruade
creature_action.harcelement_meute.name,Harcèlement de meute
creature_action.hurlement.name,Hurlement
creature_action.dard_essaim.name,Dard d'essaim
creature_action.nuee.name,Nuée
creature_action.pique_venimeuse.name,Piqûre venimeuse
creature_action.pinces.name,Pinces
creature_action.machoire_verrouillee.name,Mâchoire verrouillée
creature_action.embuscade.name,Embuscade
creature_action.bond.name,Bond
creature_action.pique_plongeant.name,Piqué plongeant
creature_action.serres.name,Serres
creature_action.becquetage.name,Becquetage
creature_action.cri_de_ralliement.name,Cri de ralliement
creature_action.enchainement.name,Enchaînement
functionality.dague.name,Dague
functionality.mains_nues.name,mains nues
item.mains_nues.name,Poings
functionality.epee.name,Épée
functionality.masse.name,Masse
functionality.lance.name,Lance
functionality.arc.name,Arc
functionality.baton_magique.name,Bâton magique
functionality.bouclier.name,Bouclier
item.proto_dague.name,Dague
item.proto_epee.name,Épée
item.proto_masse.name,Masse
item.proto_lance.name,Lance
item.proto_arc.name,Arc
item.proto_baton_magique.name,Bâton magique
item.proto_bouclier.name,Bouclier
item.proto_casque_cuir.name,Casque de cuir
item.proto_cuirasse_cuir.name,Cuirasse de cuir
item.proto_cuirasse_mailles.name,Cuirasse de mailles
item.proto_casque_fer.name,Casque de fer
item.proto_jambieres_cuir.name,Jambières de cuir
ai_profile.hostile.name,Hostile
ai_profile.bete_sauvage.name,Bête sauvage
ai_profile.compagnon.name,Compagnon
tile_content.mur.name,Mur
ui.titre,SENSEN — prototype de combat
ui.horloge,horloge {horloge} · {mode}
ui.mode.exploration,exploration ({tps} ticks/s)
ui.mode.combat,COMBAT — le temps n'avance qu'à l'action
ui.mode.donjon,DONJON — le temps n'avance qu'à l'action
ui.entite.ligne,{nom} pv {pv}/{pv_max} · vig {end} · agit à t={compteur} · h={h}
ui.case,"case ({x},{y}) h={h} · Δh vs toi : {dh}"
ui.timeline,prochaines actions :
ui.preview,{nom} : {des}×{dur} +{stat} → zone {zone} ×{mult} − armure {armure} ⇒ {min}–{max} ({ticks} ticks)
ui.preview.lourde,lourde : ×{lourde} dégâts · {ticks} ticks · brise la garde
journal.deplacement,{nom} se déplace ({cout} ticks)
journal.chute,{nom} chute de {niveaux} niveaux : {degats} dégâts
journal.attaque,{att} frappe {def} à la {zone} : {degats} dégâts ({ticks} ticks)
journal.attaque_lourde,{att} ATTAQUE LOURDE sur {def} ({zone}) : {degats} dégâts — garde brisée
journal.telegraphe,{nom} prépare {action} ({ticks} ticks)
journal.garde,{nom} prend la garde (2 ticks)
journal.garde_tient,la garde de {nom} absorbe le coup : {avant} → {apres}
journal.attendre,"{nom} attend (5 ticks, +20 vigueur)"
item.organe.name,Organe
item.membre.name,Membre
nom.partie_de,"{partie} de {creature}"
option.depouille,Fouiller la dépouille
ui.choix.prelever,Prélever
ui.ecran.depouille,"Dépouille de {nom} — {stade}"
ui.anatomie.prelevee,"  {nom} — prélevée"
ui.anatomie.d_prelevee,Prélevée sur la dépouille.
ui.anatomie.d_stade,"État de la dépouille : {stade}."
ui.anatomie.d_sans_outil,Il faudrait une lame en main pour la prélever.
ui.anatomie.d_trop_tard,La chair est trop avancée : il n'y a plus rien à en tirer.
cadavre.frais,fraîche
cadavre.raide,raidie
cadavre.gonfle,gonflée
cadavre.putrefie,putréfiée
cadavre.ossements,réduite aux ossements
journal.preleve,"{nom} prélève {partie} sur {def}"
journal.preleve_rate,"{nom} abîme {partie} en voulant la prélever"
journal.mort,{nom} tombe.
journal.engagement,{nom} t'a vu — COMBAT : le temps n'avance plus qu'à l'action
journal.desengagement,plus d'hostile en vue — le combat est fini
journal.inaccessible,inaccessible — une falaise (Δ ≥ 3) ou un mur barre la route
journal.endurance_zero,{nom} est à bout de souffle : dégâts à 60 %
journal.action_creature,{att} : {action} sur {def} ({zone}) : {degats} dégâts
journal.changer_arme,{nom} prend {objet} ({ticks} ticks)
journal.chaine_segment,"{nom} pose un segment {element} ({position}/{capacite}, +{transition})"
journal.chaine_resout,{nom} RÉSOUT sa chaîne : dégâts ×{mult}
element.bois,Bois
element.feu,Feu
element.terre,Terre
element.metal,Métal
element.eau,Eau
ui.wuxing,{element} contre {contre} : ×{dom} · jauge {segments}/{capacite} (gain ×{gain}) · ce coup : segment {position} {transition} → ×{chaine}
ui.chaine,chaîne : {segments}
journal.capacite,{att} lance {capacite} sur {def} ({zone}) : {degats} dégâts
journal.soin,{att} : {capacite} soigne {def} de {soin}
journal.surchauffe,{nom} SURCHAUFFE : {deficit} de mana manquant → {degats} PV
journal.condition_fausse,{capacite} ne part pas : {condition} n'est pas remplie (50 % des ticks rendus)
capacite.etincelle.name,Étincelle
capacite.gel_en_ligne.name,Gel en ligne
capacite.baume.name,Baume
ui.capacite,{touche} {nom} [{modules}] : {forme} portée {pmin}-{pmax} taille {taille} · {ticks} ticks · {ressource} {monnaie} · {des}{bonus}
ui.capacite.visee,VISÉE : {nom} — cliquer une tuile
ui.capacite.preview,{nom} sur {def} : {des}{bonus} ×{dom} → zone {zone} ×{mult} − armure {armure} ⇒ {min}–{max}
ui.entite.mana,mana {mana}/{mana_max}
journal.statut,{nom} subit {statut} ({duree} ticks)
journal.statut_degats,{nom} souffre de {statut} : {degats} dégâts
journal.cumul," (×{n})"
journal.chaine_interrompue,la chaîne de {nom} est INTERROMPUE : un segment tombe
journal.tir_refuse,tir impossible : {raison}
raison.munitions,plus de munitions
raison.allie,un allié masque la cible
status.brulure.name,Brûlure
status.poison.name,Poison
status.saignement.name,Saignement
status.infection.name,Infection
status.ralentissement.name,Ralentissement
status.hate.name,Hâte
status.hate_meute.name,Hâte de meute
status.ralliement.name,Ralliement
status.etourdi.name,Étourdi
status.enracinement.name,Enracinement
status.retarde.name,Retardé
status.egide.name,Égide
status.garde_annulee.name,Garde annulée
status.terreur.name,Terreur
item.proto_fleches.name,Flèches
ai_profile.elite.name,Élite
ui.munitions,flèches {n}
ui.statuts,statuts : {liste}
ui.fin.titre,=== FIN DU COMBAT — {issue} en {ticks} ticks ===
ui.fin.victoire,victoire
ui.fin.defaite,défaite
ui.fin.piste,  {piste} : {detail}
ui.fin.suite,(clic ou touche pour continuer)
tile_content.barriere.name,Barrière
journal.glyphe_pose,"{nom} pose un glyphe ({capacite}) sur ({x},{y})"
journal.glyphe_declenche,{nom} déclenche le glyphe de {source} !
journal.differe,{nom} : {capacite} partira dans {ticks} ticks
journal.terrain,"la tuile ({x},{y}) passe de h={avant} à h={apres}"
journal.invocation,"{nom} dresse {contenu} sur ({x},{y}) pour {ticks} ticks"
journal.arme,{nom} arme {capacite} ({evenement})
journal.declencheur,{nom} : {evenement} — {capacite} part !
declencheur.riposte,riposte
declencheur.parade,parade
declencheur.ouverture,ouverture
declencheur.veille,veille
declencheur.testament,testament
declencheur.accord,accord
rig.humanoide.name,Humanoïde
rig.quadrupede.name,Quadrupède
rig.volant.name,Volant
rig.amorphe.name,Amorphe
tutorial.bascule_tactique.text,"Un hostile vous a vu : le temps ne passe plus qu'à vos actions. Réfléchir est gratuit — lisez la timeline à droite avant d'agir."
tutorial.telegraphe.text,"Un « ! » et des tuiles rouges : une attaque est engagée et se résoudra à l'échéance. Bougez, prenez la garde (G) ou frappez avant."
tutorial.premier_claim.text,"Une cellule revendiquée porte un rôle (Tab → Territoire) : base, habitation, champs ou ressources naturelles."
tutorial.premier_feu.text,"Le feu court d'une tuile inflammable à l'autre, deux fois plus vite sous le vent. La pluie l'éteint."
tutorial.premier_livre.text,"Un livre peut aussi échouer : la Lecture et la Perception décident, et un échec grave détruit le livre."
tutorial.premier_module.text,"Une capacité se compose : une forme, un noyau, des modificateurs. Tab → Capacités pour en assembler une autre."
tutorial.premier_raid.text,"Un raid vise le cœur du claim : les gardes assignés, les murs et les tourelles font la défense."
tutorial.premier_recrutement.text,"Un compagnon obéit à des ordres gratuits : suis-moi, attends ici, posture, repli — dans son dialogue."
tutorial.premiere_construction.text,"Ce qui est posé se démonte (clic droit) : un meuble mal placé n'est jamais perdu."
tutorial.premiere_couvee.text,"Chaque couvée enrichit le registre (Tab → Registre) : les paliers de variétés et d'espèces donnent de vrais bonus."
tutorial.premiere_cueillette.text,"Les plantes sauvages repoussent hors des cellules revendiquées — inutile de tout ramasser d'un coup."
tutorial.premiere_faim.text,"La faim ronge les stats avant la santé : un plat cuisiné nourrit mieux qu'une viande crue, et sans risque."
tutorial.premiere_nage.text,"On ne nage pas chargé : lâche du poids, ou contourne. Sous l'eau, le souffle descend et le Feu ne part pas."
tutorial.premiere_recolte.text,"Les murs et les filons se récoltent à la pioche, les arbres à la hache : l'outil en main décide de ce qui tombe."
tutorial.premier_segment.text,"Un coup qui touche pose un segment de chaîne (les pastilles sous vous). Enchaînez cinq éléments dans l'ordre d'engendrement — ou quatre coups rapides puis une lourde — pour résoudre."
tutorial.fin_de_combat.text,"Le combat se relâche : l'écran de fin montre la durée en ticks et l'XP des pistes (élément, arme, type de dégâts, armure)."
tile_content.roche.name,Roche
dungeon_theme.ruine.name,Ruine
dungeon_theme.repaire.name,Repaire
ui.donjon,DONJON {theme} · étage {etage}/{etages} · salles {salles} · marchez sur l'escalier (doré : descendre · vert : remonter et sortir)
journal.descente,"vous descendez à l'étage {etage}/{etages} — {salles} salles, corruption {corruption} %"
journal.pas_escalier,pas de cage d'escalier ici
item.proto_anneau.name,Anneau
item.proto_amulette.name,Amulette
rarete.commun,commun
rarete.inhabituel,inhabituel
rarete.rare,rare
